site_id,site_name,latitude,longitude,state,county,city,site_type,status,contamination_type,federal_facility,npl_status
SEMSMIN000508175,Internal Grinding Abrasives,42.9090081,-85.6735353,Michigan,Kent,Grand Rapids,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSGAD051034387,Southern Wood Piedmont Co,33.4259965,-81.9978735,Georgia,Richmond,Augusta,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSAK2141190122,Dillingham Airport,59.0436114,-158.5069653,Alaska,Dillingham,Dillingham,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMNN000522077,Kriss Products,44.927075,-93.2223927,Minnesota,Hennepin,Minneapolis,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSTNN000410079,Vaughan Hollow Road Landfill Fire,35.4641367,-86.1345348,Tennessee,Coffee,Manchester,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSTXN000622190,Covestro Llc,29.7472902,-94.9127477,Texas,Chambers County,Baytown,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSTX6120599885,Honey Bee Research Unit,26.1575044,-97.9952855,Texas,Hidalgo,Weslaco,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNJSFN0204260,Woodbrook Road Dump,40.5615722,-74.4029156,New Jersey,Middlesex,South Plainfield,Superfund,Currently On The Final Npl,,False,Current NPL
SEMSTXD980873160,Rogers Delinted Cottonseed Company,27.8039047,-97.6479075,Texas,Nueces,Robstown,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSGAD980495147,Dalton Sanitary Landfill--North Area--,34.7955966,-84.9237044,Georgia,Whitfield,Dalton,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSKYD981028350,Tri-City Disposal Co.,38.0477883,-85.7683359,Kentucky,Bullitt,Shepherdsville,Superfund,Currently On The Final Npl,,False,Current NPL
SEMSNYD986882660,Li Tungsten Corp.,40.8609373,-73.6407743,New York,Nassau,Glen Cove,Superfund,Currently On The Final Npl,,False,Current NPL
SEMSCAD009531591,Keysor-Century Corp,34.4129949,-118.5393323,California,Los Angeles,Saugus,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSCTD052538105,Whitnon Spindle,41.7041856,-72.8605202,Connecticut,Hartford,Farmington,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSKYN000407793,Carriage House Fructose,38.3736183,-85.4486158,Kentucky,Oldham,Buckner,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSTXN000622281,High Tech Finishing,29.7136565,-95.4721951,Texas,Harris,Houston,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSALN000420027,Pine Ridge Transportation,34.7032459,-87.003282,Alabama,Limestone,Tanner,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSILN000508292,Y Not Used Tires,42.2378778,-89.0797062,Illinois,Winnebago,Rockford,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSKSN000720894,Pce Dry Cleaner Location #10,37.7530264,-100.0259887,Kansas,Ford,Dodge City,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNJD982183303,Wheaton Industries Galena Lead Crystsal,39.539029,-75.0248017,New Jersey,Cumberland,Vineland,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNYD002217123,Kleen Brite Laboratories - Fair Street,43.2078246,-77.9318899,New York,Monroe,Brockport,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNCD982096653,Ram Leather Care Site,35.2319889,-80.6027372,North Carolina,Mecklenburg,Charlotte,Superfund,Currently On The Final Npl,,False,Current NPL
SEMSDED041212473,"Standard Chlorine Of Delaware, Inc.",39.599589,-75.6358329,Delaware,New Castle,Delaware City,Superfund,Currently On The Final Npl,,False,Current NPL
SEMSFLD980709802,Hipps Road Landfill,30.2169447,-81.8055643,Florida,Duval,Duval County,Superfund,Deleted From The Final Npl,,False,Deleted from NPL
SEMSARR000018721,Weatherford Fracturing Technologies,35.2250094,-91.7936944,Arkansas,White,Searcy,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMID985661123,Cowen Road Landfill,42.2966752,-83.3866715,Michigan,Wayne,Newbury,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNCN000410400,Gao 013 - High Point,35.9150971,-80.030553,North Carolina,Randolph,Hgh Point,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSCA7120090397,Usda Ars Ca Fresno,36.7244818,-119.7184566,California,Fresno,Fresno,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSCAN000904211,Gomez Sandblasting,33.8544989,-117.8936721,California,Orange,Anaheim,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSOHN000521890,Proctorville Hg Spill,38.4617375,-82.3413039,Ohio,Lawrence,Proctorville,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNCN000420417,Ruffin Street Mercury,36.0162171,-78.9029027,North Carolina,Durham,Durham,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSORSFN1002194,Belle Of Baker Mine,44.8205619,-118.2591806,Oregon,Baker,Sumpter,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSALD980845341,Jba Manufacturing,33.5450063,-86.5483378,Alabama,Jefferson,Leeds,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSCA1170090020,Point Loma Annex Naval Supply Ctr,32.6880608,-117.2383449,California,San Diego County,San Diego,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSOHN000510542,Mar-Flex Fire Resonse,39.5600643,-84.3735613,Ohio,Butler,Middletown,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSSCN000407639,Free Radiator Shop,34.9556568,-82.1333936,South Carolina,Spartanburg,Lyman,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSOKN000622239,20Th Street Salvage Yard,35.6100237,-95.9837193,Oklahoma,-- Not Defined --,Okmulgee,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNCN000420962,Blue Ridge Paper Products Llc,35.5349069,-82.8421039,North Carolina,Haywood,Canton,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSAKN001020169,Usda Fs Tongass Nf: Empire Mine,58.1277922,-134.7537524,Alaska,-- Not Defined --,Juneau,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSPA4570028825,Pa Air Natl Guard 193Rd Spec Opr Grp,40.1905631,-76.7455573,Pennsylvania,Dauphin,Middletown,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSCAN000905894,Harrington Tools,34.1503786,-118.2736835,California,Los Angeles,Glendale,Superfund,Not On The Npl,,False,Non-NPL Superfund
