api_number,well_name,latitude,longitude,state,county,operator_name,well_type,well_status,spud_date,months_inactive,liability_est,field_name,lease_name,district
4700100031,"PAUGH, D. T. & E. C. #1-219",39.154195,-80.179226,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1946-04-21,,,NA,"PAUGH, D. T. & E. C.",
4700100167,UPTON-MORRIS #10629,39.130443,-80.030241,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1964-07-16,,,NA,UPTON-MORRIS,
4700100250,"NUTTER, HAZEL #1-117-CH",39.198479,-80.142639,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1966-02-05,,,NA,"NUTTER, HAZEL",
4700100314,"LAW, ROSALTHA - HEIRS #(1)-138-CH",39.219419,-80.146857,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1966-09-22,,,NA,"LAW, ROSALTHA - HEIRS",
4700100260,"ROGERS, GIDEON #10776",39.093083,-80.133205,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1966-01-20,,,NA,"ROGERS, GIDEON",
4700100442,"CAMPBELL, ORVILLE #11124",39.100372,-80.091827,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1969-07-03,,,NA,"CAMPBELL, ORVILLE",
4700100523,"COLE, NELLIE F. #1",39.185707,-80.133689,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1970-04-01,,,NA,"COLE, NELLIE F.",
4700100214,"McDANIEL, I. H. #10714",39.093215,-80.072371,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1965-06-25,,,NA,"McDANIEL, I. H.",
4700100282,"SAFFLE, JAMES F. #10817",39.067012,-80.099144,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1965-12-18,,,NA,"SAFFLE, JAMES F.",
4700100287,"GEORGE, HARRY R. #10814",39.074852,-80.114618,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1966-06-03,,,NA,"GEORGE, HARRY R.",
4700100362,"CONLEY, MARTIN #CONLEY 4",39.05936,-80.054916,West Virginia,Barbour,MULE HEAD LLC,Vertical,Abandoned,1967-09-11,,,NA,"CONLEY, MARTIN",
4700100385,"WOLFE, LARRY, ETAL #CNGP 6018",39.219915,-80.025147,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1968-05-06,694,,NA,"WOLFE, LARRY, ETAL",
4700100203,"DICKENSON, D. #10675",39.153072,-80.132922,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1965-04-05,,,NA,"DICKENSON, D.",
4700100301,"BANISH, CHARLES #1-135-CH",39.2113,-80.13777,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1966-09-14,,,NA,"BANISH, CHARLES",
4700100480,"CALLIHAN, ETHEL #11189",39.154433,-80.10401,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1969-08-18,,,NA,"CALLIHAN, ETHEL",
4700100312,HARRISON-RITCHIE OIL&GAS #10840,39.071104,-80.039369,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1966-08-13,,,NA,HARRISON-RITCHIE OIL&GAS,
4700100215,"McDANIEL, NORA M. #10715",39.20578,-80.008083,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1965-07-08,,,NA,"McDANIEL, NORA M.",
4700100532,"PAUGH, C. W., ETAL #1",39.242648,-80.066167,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1970-06-01,,,NA,"PAUGH, C. W., ETAL",
4700100734,"ROY, BURTON A. #3-S B-5",39.134704,-80.110049,West Virginia,Barbour,BRAXTON OIL AND GAS CORP.,Vertical,Abandoned,1975-10-01,,,NA,"ROY, BURTON A.",
4710100083,COASTAL LUMBER CO. #4,38.593475,-80.26421,West Virginia,Webster,EASTERN STATES EXPLORATION CO.,Vertical,Abandoned,1983-08-22,,,NA,COASTAL LUMBER CO.,
4700101278,"TABLER, CHARLES & SARAH #1",39.19177,-80.075202,West Virginia,Barbour,"MAYLE, IRA DAVID",Vertical,Abandoned,,,,NA,"TABLER, CHARLES & SARAH",
4700100023,"CHAPMAN, W. H. #8958",39.137102,-80.140711,West Virginia,Barbour,ALLEGHENY METALLURGICAL LLC,Vertical,Abandoned,1945-09-04,,,NA,"CHAPMAN, W. H.",
4710100078,COASTAL LUMBER CO. #1,38.601317,-80.407633,West Virginia,Webster,OPERATOR UNKNOWN,Vertical,Abandoned,1982-02-25,,,NA,COASTAL LUMBER CO.,
4700100049,"MORRISON, W. L. #9068",39.14556,-80.17688,West Virginia,Barbour,ALLEGHENY METALLURGICAL LLC,Vertical,Abandoned,1947-06-12,,,NA,"MORRISON, W. L.",
4700100381,"BENNETT, ATHOL #1",39.054208,-80.069232,West Virginia,Barbour,LOCK 3 COMPANY,Vertical,Abandoned,1968-05-01,,,NA,"BENNETT, ATHOL",
4710100035,ARTHUR & HOLCOMB #1,38.409706,-80.560849,West Virginia,Webster,OPERATOR UNKNOWN,Vertical,Abandoned,1955-01-16,,,NA,ARTHUR & HOLCOMB,
4710100013,"HOWARD, C. D. - HEIRS #1",38.41474,-80.555322,West Virginia,Webster,OPERATOR UNKNOWN,Vertical,Abandoned,1953-09-30,,,NA,"HOWARD, C. D. - HEIRS",
4700100253,"STUART, F. R. & R. V. #1",39.168848,-80.21272,West Virginia,Barbour,"MLX OPERATING, INC.",Vertical,Abandoned,1965-11-20,,,NA,"STUART, F. R. & R. V.",
4700100005,"WARD, ETHEL P. #8638",39.136488,-80.150815,West Virginia,Barbour,ALLEGHENY METALLURGICAL LLC,Vertical,Abandoned,1944-02-08,,,NA,"WARD, ETHEL P.",
4700100006,"BENSON, IRA D. #2-8794",39.166185,-80.177806,West Virginia,Barbour,ALLEGHENY METALLURGICAL LLC,Vertical,Abandoned,1900-01-01,1514,,NA,"BENSON, IRA D.",
4700100041,"CHAPMAN, W. H. #9047",39.134607,-80.134974,West Virginia,Barbour,ALLEGHENY METALLURGICAL LLC,Vertical,Abandoned,1946-09-04,,,NA,"CHAPMAN, W. H.",
4700100807,"MCDERMITT, GLADLYN #1-B-548",37.04623,-81.000003,West Virginia,Barbour,OPERATOR UNKNOWN,Vertical,Abandoned,1977-11-21,,,NA,"MCDERMITT, GLADLYN",
4710100007,"WILLIAMS, C. B. #1",38.419577,-80.538008,West Virginia,Webster,OPERATOR UNKNOWN,Vertical,Abandoned,1953-04-29,,,NA,"WILLIAMS, C. B.",
4700100274,"SANDRIDGE, E. A. #10758",39.079614,-80.074286,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1965-11-28,,,NA,"SANDRIDGE, E. A.",
4700100474,"YEAGER, S. L. & BETTY #1",38.964458,-80.011325,West Virginia,Barbour,BRAXTON OIL AND GAS CORP.,Vertical,Abandoned,1969-08-24,,,NA,"YEAGER, S. L. & BETTY",
4700100524,"TALBOTT, WILLIAM E. #2",39.188158,-80.121201,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1970-04-01,,,NA,"TALBOTT, WILLIAM E.",
4700100046,"BRYAN, J. L. #9069",39.130431,-80.132128,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1947-02-24,,,NA,"BRYAN, J. L.",
4700100185,"BENNETT, PAUL A. #10657",39.074148,-80.047288,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1964-11-17,,,NA,"BENNETT, PAUL A.",
4700100694,"WOLFE, L. #1",39.119159,-79.936602,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,,,,NA,"WOLFE, L.",
4700100037,"WINANS, H. T. #8999",39.089981,-80.149175,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1946-06-12,,,NA,"WINANS, H. T.",
4700100044,"BURNER, GUY D. #9056",39.119642,-80.140407,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1946-12-04,,,NA,"BURNER, GUY D.",
4700101080,"STUART, D. C. #2",39.154212,-80.155023,West Virginia,Barbour,ALLEGHENY METALLURGICAL LLC,Vertical,Abandoned,1978-12-02,,,NA,"STUART, D. C.",
4710100031,"WOODS, BONNIE J. #1",38.41212,-80.560568,West Virginia,Webster,OPERATOR UNKNOWN,Vertical,Abandoned,1954-11-27,,,NA,"WOODS, BONNIE J.",
4700100255,"POST, FLORIE #10769",39.106,-80.110746,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1965-11-16,,,NA,"POST, FLORIE",
4700100650,"WINANS, EMMETT #11660",39.06988,-80.057309,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1973-07-01,,,NA,"WINANS, EMMETT",
4700100026,"PECK, CORA M. #8983",39.150886,-80.142091,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1945-10-15,,,NA,"PECK, CORA M.",
4700100119,"WARD, I. S. #10416",39.099054,-80.181617,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1962-11-29,,,NA,"WARD, I. S.",
4700100003,"RILEY, ANNETTE #7840",39.156077,-80.172236,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1939-02-01,,,NA,"RILEY, ANNETTE",
4700100010,"HARVEY, REBECCA #1-210",39.15773,-80.155521,West Virginia,Barbour,"HAUGHT, INC.",Vertical,Abandoned,1944-10-26,,,NA,"HARVEY, REBECCA",
