api_number,well_name,latitude,longitude,state,county,operator_name,well_type,well_status,spud_date,months_inactive,liability_est,field_name,lease_name,district
49-033-22377,LITTLE #9P-19 5578,44.72655,-106.28728,Wyoming,Sheridan,CONTINENTAL PRODUCTION CO LLC,Gas,Permanently Abandoned,2004-02-01,135,,PRB COAL BED,LITTLE,
49-033-22397,YOUCACHET #41D3-2783,44.97971,-106.84636,Wyoming,Sheridan,FIDELITY EXPLORATION & PRODUCTION CO,LW,Permanently Abandoned,2001-11-01,64,,PRB COAL BED,YOUCACHET,
49-033-22409,SHANNON #34M/C-2574,44.88093,-106.93294,Wyoming,Sheridan,FIDELITY EXPLORATION & PRODUCTION CO,LW,Permanently Abandoned,2002-12-01,161,,PRB COAL BED,SHANNON,
49-033-22414,SHANNON #14C-2574,44.88058,-106.94423,Wyoming,Sheridan,FIDELITY EXPLORATION & PRODUCTION CO,LW,Permanently Abandoned,2001-08-01,162,,PRB COAL BED,SHANNON,
49-033-22512,KOLTISKA #32C-3273,44.87373,-106.89294,Wyoming,Sheridan,FIDELITY EXPLORATION & PRODUCTION CO,LW,Permanently Abandoned,2001-09-01,161,,PRB COAL BED,KOLTISKA,
49-033-22533,DUNNING #9M-6 57-83,44.94332,-106.90734,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,LW,Permanently Abandoned,2001-07-01,177,,PRB COAL BED,DUNNING,
49-033-22534,DUNNING #1D3-6 57-83,44.95111,-106.90721,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2001-08-01,173,,PRB COAL BED,DUNNING,
49-033-22549,BARTON #12-4-54-76W,44.68411,-106.01891,Wyoming,Sheridan,HIGH PLAINS GAS LLC,Gas,Permanently Abandoned,2001-07-01,92,,PRB COAL BED,BARTON,
49-033-22550,SORENSON STATE #15-13-53-77A,44.56472,-106.06731,Wyoming,Sheridan,HIGH PLAINS GAS LLC,Gas,Permanently Abandoned,2001-08-01,104,,PRB COAL BED,SORENSON STATE,
49-033-22552,KUHN RANCH STATE #1-11-53-77A,44.58913,-106.08321,Wyoming,Sheridan,HIGH PLAINS GAS LLC,Gas,Permanently Abandoned,2001-08-01,104,,PRB COAL BED,KUHN RANCH STATE,
49-033-22556,TAYLOR #16A-16 57-83,44.91039,-106.86682,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2002-02-01,56,,PRB COAL BED,TAYLOR,
49-033-22566,TREMBATH #8A-35 58-83,44.96183,-106.82459,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Temporarily Abandoned,2001-08-01,132,,PRB COAL BED,TREMBATH,
49-033-22579,TREMBATH #2M-35 58-83,44.96524,-106.83009,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Temporarily Abandoned,2001-08-01,132,,PRB COAL BED,TREMBATH,
49-033-22586,TREMBATH STATE #12A-36 58-83,44.95855,-106.81969,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Temporarily Abandoned,2001-08-01,132,,PRB COAL BED,TREMBATH STATE,
49-033-22595,DANNER #12M-3173,44.87343,-106.9233,Wyoming,Sheridan,FIDELITY EXPLORATION & PRODUCTION CO,LW,Permanently Abandoned,2001-12-01,163,,PRB COAL BED,DANNER,
49-033-22598,DANNER #14C-3173,44.86621,-106.9233,Wyoming,Sheridan,FIDELITY EXPLORATION & PRODUCTION CO,LW,Permanently Abandoned,2001-11-01,162,,PRB COAL BED,DANNER,
49-033-22611,KOLTISKA #34C-3173,44.86663,-106.91269,Wyoming,Sheridan,FIDELITY EXPLORATION & PRODUCTION CO,LW,Permanently Abandoned,2001-09-01,162,,PRB COAL BED,KOLTISKA,
49-033-22624,MALLI #8-32 W,44.70168,-106.02543,Wyoming,Sheridan,HIGH PLAINS GAS LLC,Gas,Permanently Abandoned,2001-08-01,105,,PRB COAL BED,MALLI,
49-033-22625,ODEGARD #14-33W,44.69501,-106.01428,Wyoming,Sheridan,HIGH PLAINS GAS LLC,Gas,Permanently Abandoned,2001-07-01,79,,PRB COAL BED,ODEGARD,
49-033-22638,LPD #4M-9 57-83,44.93585,-106.88186,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2002-02-01,55,,PRB COAL BED,LPD,
49-033-22642,LPD #15M-8 57-83,44.92516,-106.89178,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2002-03-01,56,,PRB COAL BED,LPD,
49-033-22688,ELLENWOOD #A2A-1,44.59919,-106.68416,Wyoming,Sheridan,MEDALLION EXPLORATION,Gas,Permanently Abandoned,2001-08-01,67,,PRB COAL BED,ELLENWOOD,
49-033-22689,ELLENWOOD #B1A-1,44.59633,-106.68636,Wyoming,Sheridan,MEDALLION EXPLORATION,Gas,Permanently Abandoned,2001-08-01,67,,PRB COAL BED,ELLENWOOD,
49-033-22694,WELL #12A-3149,44.609263,-106.426681,Wyoming,Sheridan,SUMMIT GAS RESOURCES INC,LW,Permanently Abandoned,2001-10-01,200,,PRB COAL BED,WELL,
49-033-22695,WELL #23A-3149,44.606246,-106.421073,Wyoming,Sheridan,SUMMIT GAS RESOURCES INC,LW,Permanently Abandoned,2001-11-01,200,,PRB COAL BED,WELL,
49-033-22696,WELL #21A-3149,44.613615,-106.420435,Wyoming,Sheridan,SUMMIT GAS RESOURCES INC,Service,Permanently Abandoned,2001-10-01,200,,PRB COAL BED,WELL,
49-033-22709,ROEBLING #23A-1549,44.649694,-106.360475,Wyoming,Sheridan,SUMMIT GAS RESOURCES INC,LW,Permanently Abandoned,2002-06-01,137,,PRB COAL BED,ROEBLING,
